"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",10,9927602587453,875
"ETH","B",10,1919224745685,920
"XRP","B",10,1510490752336,770
"EOS","B",11,534988896316,917
"LTC","B",10,529665996258,760
"BCH","C",7,524229602501,819
"BNB","B",11,274586346953,489
"USDT","X",0,260795581869,526
"XLM","B",10,245713369469,760
"ADA","B",10,236802687609,864
"TRX","C",9,194318815575,875
"XMR","C",9,125416650344,793
"DASH","C",8,117305612580,829
"MIOTA","C",7,98651400106,571
"NEO","C",9,80186982469,807
"ETC","C",8,75090343602,679
"ONT","C",8,70854840038,587
"MKR","X",0,69744160868,774
"XTZ","C",7,70323856294,730
"XEM","C",7,64125020725,634
"ZEC","C",8,48789846654,801
"VET","C",7,41107630099,759
"BAT","X",0,37536015053,779
"DOGE","C",7,36730181059,674
"BTG","D",6,31101475213,512
"OMG","C",8,30442888227,776
"QTUM","C",7,29088559472,505
"WAVES","C",9,28754663233,718
"DCR","C",8,25445001192,805
"LSK","C",7,24026350712,758
"RVN","C",7,23194667970,564
"REP","X",0,23371241013,837
"NANO","C",7,22586099115,403
"TUSD","X",0,22453166031,727
"ZRX","X",0,20357979151,880
"ZIL","C",7,19343142142,801
"ICX","C",8,19315471053,612
"BTS","C",9,18782271805,589
"LINK","X",0,18818147723,706
"BCN","D",6,18554432701,172
"HOT","C",9,17979150285,800
"IOST","C",7,17165355872,777
"DGB","C",7,16867197386,650
"AE","C",7,15676876061,741
"XVG","C",7,14935443355,754
"NPXS","X",0,14830824402,462
"STEEM","C",9,14157692305,545
"SC","D",6,13630416670,295
"BTM","C",7,13296158082,504
"KMD","C",8,13039306614,570
"HT","X",0,12757084315,412
"ENJ","X",0,11682280710,673
"THETA","X",0,10464799658,501
"DGTX","X",0,10763059162,252
"KCS","X",0,10275805920,186
"DAI","X",0,9979463582,815
"XIN","E",1,9836707785,167
"WTC","C",7,9377546082,323
"SNT","X",0,9358133979,801
"PAI","X",0,9302008964,562
"PPT","X",0,9322429126,418
"GNT","X",0,9041951252,722
"CNX","X",0,8506054300,143
"WAX","D",6,8485261810,292
"QBIT","X",0,8053367604,218
"ARK","C",7,7318894462,567
"R","X",0,7171966436,344
"MCO","X",0,7027629622,330
"LRC","X",0,6823314388,440
"MAID","X",0,6760499410,551
"XZC","D",6,6514398082,495
"TRUE","X",0,5992903031,263
"NAS","D",6,6419232399,216
"NULS","C",7,6197205647,488
"MANA","X",0,6143361084,792
