"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",11,16138279442447,862
"ETH","B",10,2922271572702,940
"XRP","B",10,1928453679151,761
"BCH","C",8,822795075044,824
"EOS","B",11,726544949133,910
"LTC","B",10,729330868245,730
"BNB","B",10,493896807829,705
"USDT","X",0,341963691564,553
"XLM","C",9,272511028034,841
"ADA","B",10,236336910965,870
"TRX","C",9,226300113341,851
"XMR","C",9,169027684533,775
"DASH","C",9,155669997567,814
"MIOTA","C",9,144533409718,606
"XTZ","C",8,106908783479,688
"ETC","C",8,96732780068,760
"NEO","C",9,89625499727,795
"XEM","C",8,87564150020,619
"ONT","C",7,78166711541,573
"MKR","X",0,81498785228,847
"ZEC","C",8,59791243880,780
"BTG","C",7,53059836569,539
"BAT","X",0,45896088759,710
"VET","C",7,44481720986,718
"LINK","X",0,38511523986,770
"DOGE","C",8,42190984074,697
"QTUM","C",7,32774894747,533
"OMG","C",8,32445083682,759
"HOT","C",9,31069055089,790
"DCR","C",9,30206811785,811
"WAVES","C",8,27659264090,723
"LSK","C",7,25265142938,740
"NANO","C",7,24398105469,516
"TUSD","X",0,26726668052,680
"REP","X",0,23432988202,804
"NPXS","X",0,22035537110,460
"ZRX","X",0,21053528771,855
"RVN","C",7,21173340077,484
"ICX","C",8,19936802760,576
"DGB","C",7,19281668102,615
"BTS","C",9,19686157997,590
"AOA","D",4,22172077292,257
"KMD","C",8,16961107172,551
"ZIL","D",6,18473000428,714
"XVG","D",6,17145126596,757
"HT","X",0,17401149776,508
"IOST","C",7,16985453037,648
"BCN","D",6,20331562028,175
"AE","D",6,15574858365,749
"SC","C",7,15347067958,471
"QBIT","X",0,14157206555,216
"THETA","X",0,12574889071,473
"BTM","C",7,13669033663,516
"STEEM","C",8,13397152196,546
"DENT","X",0,13538215968,410
"ENJ","X",0,12796212198,674
"MAID","X",0,11386301757,566
"XIN","E",1,10901829723,144
"MCO","X",0,11074569055,351
"SNT","X",0,10659314663,781
"WTC","D",6,10765041300,315
"STRAT","D",5,10324329373,542
"KCS","X",0,10657838549,203
"GNT","X",0,9985995018,692
"CNX","X",0,9605860068,126
"ETP","D",5,8341338888,350
"ELF","X",0,8864217533,752
"ARDR","C",7,8908907546,215
"TRUE","X",0,9350830749,443
"DAI","X",0,8397454872,908
"FCT","X",0,8353519452,518
"PAI","X",0,8040538291,520
"WAX","D",6,7683373965,292
"ZEN","C",7,7531982275,549
"MONA","X",0,7909861916,322
"DGD","X",0,7780431056,327
"ARK","D",6,7326025255,571
"LRC","X",0,7068771251,448
"MANA","X",0,6500981237,803
"SAN","X",0,6593718099,483
"LOOM","X",0,6592629406,741
"AION","D",6,6380490841,718
"R","X",0,6485469755,261
"HC","D",6,6704189370,512
"LA","X",0,6018596200,180
"XZC","D",5,5864832131,543
"PPT","X",0,5801373563,402
"NULS","C",7,5917779792,479
"NEXO","X",0,5901670978,354
"POWR","X",0,5367630278,384
"NET","X",0,5709272601,112
"ABT","X",0,5102698700,671
"MOAC","D",6,5098395820,437
"BNT","X",0,4658202304,628
"KNC","X",0,4815844624,786
"RDD","D",6,5221247179,270
"AGI","X",0,3485774559,629
"QASH","X",0,4688048299,212
"POLY","X",0,4710704674,721
"WAN","D",6,4644802434,452
"CSC","X",0,3804269061,253
"NAS","C",7,4521203094,181
"BRD","X",0,4431207121,554
"FUN","X",0,4467559401,643
"ETN","E",2,4338594791,391
"IOTX","X",0,4253327652,838
"SYS","D",5,3954584317,400
"QKC","D",5,4209438969,680
"PIVX","D",6,4407496133,626
"FTM","X",0,3572552471,678
"STORJ","X",0,3936155366,650
"VERI","X",0,3264213153,320
"ENG","D",6,3667028771,621
"EKT","X",0,3698284393,284
"TOMO","X",0,3513563278,483
"BIX","X",0,3806149841,239
"RLC","X",0,3672460931,688
"GAS","X",0,3669313695,748
"EURS","X",0,3966485603,410
"UTK","X",0,3577090245,301
