"country","continent","lifeExp","pop","gdpPercap"
bitcoin,BTC,864,B,15406526969201
ethereum,ETH,9397,B-,2872425633598
ripple,XRP,764-11,B-,1762543050703
bitcoin-cash,BCH,830-6,C,792660849185
litecoin,LTC,744-8,B-,606531225792
eos,EOS,911-2,B,602091973097
binance-coin,BNB,697-9,B-,494086912545
tether,USDT,5501,0,326582804010
stellar,XLM,8331,B-,265280873914
cardano,ADA,8742,B-,227868078266
tron,TRX,852-5,C+,201013872179
monero,XMR,779-11,C+,158582986472
dash,DASH,816-3,C+,149804274855
iota,MIOTA,606-3,C+,118846037898
tezos,XTZ,695-4,C,116303550386
ethereum-classic,ETC,763-9,C,85743633541
neo,NEO,7967,C+,81780302941
nem,XEM,624-11,C,79450276227
maker,MKR,853-5,0,72092243247
ontology,ONT,579-6,C-,71523635756
zcash,ZEC,782-2,C,51873250135
chainlink,LINK,75840,0,51652969207
basic-attention-token,BAT,723-7,0,47685163725
bitcoin-gold,BTG,5505,C-,46025381552
vechain,VET,716-13,C-,45193825578
dogecoin,DOGE,7008,C-,38879373428
qtum,QTUM,53813,C-,30363077314
holo,HOT,78526,C+,29801379227
omisego,OMG,7568,C,30144488445
decred,DCR,81421,C+,29686135815
waves,WAVES,722-4,C,29343102566
trueusd,TUSD,145-558,0,26433655224
lisk,LSK,7427,C-,24593327513
nano,NANO,527-10,C-,24529277504
augur,REP,81810,0,23537391844
ravencoin,RVN,506-13,C,20943714008
0x,ZRX,8638,0,20058122291
icon,ICX,583-7,C,20074947218
verge,XVG,76716,D+,19876348027
zilliqa,ZIL,73212,D+,19187368844
bytecoin-bcn,BCN,18516,D+,19232166429
digibyte,DGB,636,C-,19259492434
bitshares,BTS,591-4,C+,18816091900
pundi-x,NPXS,45519,0,17911051664
huobi-token,HT,50326,0,16164288661
iostoken,IOST,659-12,C-,15671292362
aeternity,AE,758-12,D+,15561427912
siacoin,SC,472-2,C-,14852712237
komodo,KMD,552-13,C,14624908050
enjin-coin,ENJ,6784,0,14033472624
steem,STEEM,545-1,C,13161773432
qubitica,QBIT,21024,0,12936726117
bytom,BTM,539181,C-,12789902519
aurora,AOA,246-20,D-,13249805217
maidsafecoin,MAID,566-3,0,10987262254
