"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",10,10258238037582,877
"ETH","B",10,1824632389080,928
"XRP","B",10,1354218513746,781
"BCH","C",7,528374906893,866
"LTC","C",9,488284845869,765
"EOS","B",11,481003907452,920
"BNB","B",11,348948001031,780
"USDT","X",0,317203639328,541
"XLM","C",9,210651939233,794
"ADA","B",10,200205803510,873
"TRX","C",9,170918479687,878
"XMR","C",8,116722211642,794
"DASH","C",8,106259869038,839
"MIOTA","C",8,84232156725,617
"ETC","C",8,66276960203,716
"XEM","C",7,58011398317,636
"ONT","C",7,57222888770,594
"MKR","X",0,56805273434,828
"BAT","X",0,53718152694,795
"VET","C",7,37135391895,768
"DOGE","C",8,33430174778,722
"BTG","D",6,28721900441,531
"REP","X",0,26103219471,836
"NANO","C",7,24480020090,438
"WAVES","C",8,24653629126,749
"DCR","C",8,24764727909,815
"QTUM","C",7,23410007222,545
"LSK","C",7,22776934701,755
"TUSD","X",0,22558471725,145
"ICX","C",8,18903334787,609
"HOT","C",9,18377923499,801
"LINK","X",0,17288615680,703
"ZIL","D",6,16742773832,808
"BTS","C",8,15681309222,596
"DGB","C",7,14603482570,644
"IOST","C",7,13949549847,742
"AE","D",6,13430999844,811
"ENJ","X",0,13104550589,705
"HT","X",0,12171382291,431
"SC","D",6,12321929037,293
"STEEM","C",8,12015876690,549
"KMD","C",8,11768518571,582
"KCS","X",0,11608791312,206
"BTM","D",6,10898173692,493
"WTC","C",7,9935607459,335
"STRAT","D",5,9603694665,563
"DAI","X",0,9016312993,869
"FCT","X",0,8783412731,438
"SNT","X",0,8700917163,793
"GNT","X",0,7985465989,719
"MCO","X",0,7761252154,339
"ARDR","D",6,7719860542,223
"ELF","X",0,6179264507,772
"NULS","C",7,5788378342,479
"MAID","X",0,5805443133,565
"MANA","X",0,5771257820,785
"DGD","X",0,5774037699,298
"AION","D",6,5701360538,621
"XZC","D",6,5566846235,571
"HC","D",6,5355850413,521
"R","X",0,5302086657,331
"LRC","X",0,5500536244,504
"POWR","X",0,5092842834,389
"NAS","D",6,5064598993,215
"LOOM","X",0,4912866838,783
"NEXO","X",0,4696367258,362
"DENT","X",0,4734114583,380
"ETP","D",5,4481372366,430
"SAN","X",0,4402205508,453
"KNC","X",0,4292212222,817
"PIVX","C",7,4306057355,680
"BNT","X",0,4214331106,683
"RLC","X",0,4219651396,668
"BIX","X",0,4070863351,235
"WAN","D",6,4114105835,408
"POLY","X",0,4081858041,650
"TOMO","X",0,4046893071,512
"QKC","D",6,3873762638,703
"FUN","X",0,3785464225,588
"KIN","D",5,3871046777,829
"STORJ","X",0,3339525337,690
"ENG","D",6,3348983802,655
"GBYTE","D",6,3161073505,371
"MITH","X",0,3285013867,309
"IOTX","X",0,3092525088,817
