"country","continent","lifeExp","pop","gdpPercap"
"GOT","x",0,948,948
"IHT","x",6043,556,556
"EVN","x",17499,259,259
"ECA","x",17556,257,257
"MOBI","x",10505,391,391
"INCNT","x",12279,349,349
"RFR","x",50573,89,89
"LBC","x",32073,153,153
"PRG","x",5043,609,609
"MTH","x",19268,242,242
"CZR","x",282,915,915
"LYM","x",8202,465,465
"ATX","x",593,894,894
"VEO","x",2890,732,732
"SLS","x",3494,683,683
"AST","x",31215,162,162
"YOYOW","x",7330,499,499
"BBR","x",1039,858,858
"SINS","x",812,874,874
"CDT","x",19703,238,238
"CPC","x",8152,467,467
"TIOX","x",20593,231,231
"FOTA","x",6018,557,557
"DX","x",30531,166,166
"LUN","x",31845,154,154
"QCH","x",0,948,948
"SEELE","x",13283,329,329
"NIX","x",26755,184,184
"SUB","x",68178,64,64
"DERO","x",3303,698,698
"LCC","x",12285,348,348
"PASC","x",8669,444,444
"VITAE","x",3030,717,717
"LOKI","x",4725,621,621
"HYDRO","x",2048,781,781
"DOCK","x",45983,96,96
"BPT","x",31712,157,157
"VIB","x",33073,149,149
"DAPS","x",10765,386,386
"INT","x",7177,508,508
"OAX","x",14965,298,298
"BTCP","x",52448,87,87
"NSD","x",528,903,903
"MWAT","x",8793,440,440
"CPT","x",1736,810,810
"BCPT","x",10342,400,400
"GNX","x",6050,555,555
"SWM","x",8684,443,443
"AU","x",2477,756,756
"TRTL","x",3373,690,690
"EVN","x",0,948,948
"BZ","x",0,948,948
"SNPC","x",0,948,948
"PNT","x",1938,791,791
"MER","x",4103,648,648
"XCP","x",31419,161,161
"USDS","x",569,899,899
"CHSB","x",10701,389,389
"AOG","x",360,909,909
"NPX","x",6741,520,520
"MXC","x",1979,789,789
"CAS","x",10018,407,407
"CCCX","x",3908,659,659
"LINA","x",1610,815,815
"DEX","x",1107,851,851
"ADT","x",6598,528,528
"MTC","x",16020,283,283
"UTNP","x",10448,396,396
"MDT","x",5529,579,579
"IOG","x",3684,669,669
"TUBE","x",10799,384,384
"POT","x",33166,148,148
"EDRC","x",204,920,920
"SWFTC","x",8486,454,454
"CLO","x",11345,372,372
"DCC","x",0,948,948
"PLBT","x",8942,430,430
"BTO","x",7417,496,496
"AURA","x",35876,136,136
"B2B","x",3055,715,715
"BLK","x",33508,146,146
"POLIS","x",15066,294,294
"$PAC","x",31776,155,155
"STACS","x",0,948,948
"LGO","x",9830,414,414
"SENSE","x",1529,819,819
"PPP","x",7458,493,493
"AEON","x",8078,470,470
"BRZC","x",4598,627,627
"MRPH","x",5456,584,584
"BEET","x",1277,845,845
"BITUSD","x",0,948,948
"GEN","x",5078,604,604
"NIM","x",6219,547,547
"LYL","x",6870,518,518
"UKG","x",6013,558,558
"CRYP","x",3168,707,707
"NEU","x",4774,619,619
"UPP","x",771,880,880
"CPX","x",17548,258,258
"BTX","x",11561,368,368
"MGD","x",644,891,891
"EBC","x",15399,290,290
"INK","x",6734,522,522
"WINGS","x",37224,129,129
"SHIFT","x",11703,366,366
"COLX","x",9758,417,417
"NTK","x",5906,565,565
"SSP","x",1400,831,831
"SPC","x",3923,656,656
"LTO","x",6543,531,531
"XBY","x",9323,426,426
"PLA","x",2751,743,743
"ONION","x",2887,733,733
"ZPT","x",39420,117,117
"WCT","x",0,948,948
"OCoin","x",10488,392,392
"ECOM","x",11620,367,367
"ONOT","x",7709,481,481
"EOSDAC","x",5396,590,590
"COB","x",53876,85,85
"BAX","x",11473,370,370
"BLT","x",8230,463,463
"DGX","x",16508,277,277
"MRK","x",2550,753,753
"TFD","x",12119,354,354
"THC","x",31696,158,158
"LINDA","x",17679,255,255
"ABL","x",1370,836,836
"NTY","x",11807,364,364
"BAAS","x",9670,418,418
"DCT","x",28719,175,175
"XHV","x",7192,507,507
"FTC","x",23447,214,214
"HLC","x",0,948,948
"DPY","x",1591,816,816
"ZCN","x",28161,177,177
"BOX","x",617,892,892
"PLY","x",3002,719,719
"NGC","x",18,945,945
"HOT","x",1998,786,786
"KCASH","x",7304,502,502
"AVA","x",16949,271,271
"DEC","x",8043,471,471
"OBSR","x",171,926,926
"EVY","x",713,884,884
"WET","x",2215,767,767
"TMC","x",846,871,871
"RBLX","x",1388,833,833
"CV","x",14038,320,320
"REM","x",6281,544,544
"GCR","x",3634,671,671
"PAL","x",11306,373,373
"XSPEC","x",4213,644,644
"RTH","x",176,925,925
"CLB","x",6264,545,545
"GARD","x",6239,546,546
"HTML","x",26739,185,185
"SPANK","x",14252,314,314
"PIB","x",8136,468,468
"QAC","x",507,904,904
"SNX","x",9802,416,416
"GIN","x",5845,566,566
"UT","x",1150,849,849
"CLOAK","x",18150,252,252
"SIX","x",1853,798,798
"PPY","x",10010,408,408
"LML","x",2164,774,774
"AMLT","x",4919,613,613
"CBT","x",2008,784,784
"QUN","x",4522,630,630
"DIM","x",11262,375,375
"MITX","x",13363,327,327
"DYN","x",5635,575,575
"WWB","x",0,948,948
"VRC","x",37041,130,130
"UBT","x",5324,594,594
"ZCO","x",16117,282,282
"AC3","x",8936,431,431
"CAJ","x",2997,720,720
"TAU","x",10975,380,380
"ZPR","x",5328,593,593
"BWX","x",3421,688,688
"BOX","x",7879,475,475
"SEN","x",26400,190,190
"GRC","x",14921,299,299
"KICK","x",8930,434,434
"XAUR","x",5174,598,598
"DIVI","x",7436,494,494
"LET","x",5083,603,603
"ROCK2","x",2844,736,736
"FTX","x",3296,699,699
"CRW","x",11963,358,358
"NCT","x",4553,628,628
"GRFT","x",3957,655,655
"BMX","x",34355,142,142
"ATN","x",4021,650,650
"GENE","x",568,900,900
"SKM","x",0,948,948
"CAG","x",6424,538,538
"YEE","x",6602,527,527
"PHR","x",23634,213,213
"XEL","x",10132,404,404
"CBC","x",1014,862,862
"HST","x",10359,398,398
"QNTU","x",499,905,905
"LQD","x",6418,539,539
"DADI","x",38190,123,123
"GET","x",754,881,881
"IMT","x",27245,181,181
"RADS","x",20557,232,232
"DMD","x",13057,333,333
"FIII","x",3572,675,675
"OCT","x",6388,540,540
"HSC","x",0,948,948
"SLR","x",7214,505,505
"FTI","x",12954,335,335
"EGT","x",41144,111,111
"EDN","x",11492,369,369
"LIFE","x",5716,571,571
"CHAT","x",0,948,948
"ART","x",2891,731,731
"HALO","x",1465,825,825
"BITG","x",7745,478,478
"ION","x",7740,479,479
"SPHTX","x",15552,289,289
"SKB","x",584,895,895
"PCL","x",11977,356,356
"AIDOC","x",1490,823,823
"LND","x",5130,601,601
"EKT","x",482,906,906
"SNC","x",14232,316,316
"MUE","x",15030,297,297
"PLA","x",12577,341,341
"SEM","x",2638,750,750
"VIN","x",7034,513,513
"CEEK","x",44026,99,99
"SENT","x",2540,754,754
"VCT","x",60,937,937
"RVR","x",11883,363,363
"AXPR","x",5913,564,564
"DTX","x",2902,729,729
"RBY","x",6572,529,529
"TAAS","x",0,948,948
"SWTH","x",12198,351,351
"AID","x",5131,600,600
"GSC","x",3337,695,695
"ZP","x",2692,747,747
"NANJ","x",14124,317,317
"RMESH","x",26506,189,189
"ISR","x",1293,844,844
"SOUL","x",10020,406,406
"ATCC","x",705,886,886
"UUU","x",3963,652,652
"BITB","x",0,948,948
"XMX","x",3208,704,704
"GCC","x",4784,618,618
"UP","x",3071,714,714
"SUQA","x",1940,790,790
"DAX","x",9397,425,425
"BCAC","x",0,948,948
"ULT","x",160,927,927
"DICE","x",2171,771,771
"LUX","x",11921,360,360
"TMT","x",3338,693,693
"BWT","x",3137,711,711
"OPQ","x",1197,848,848
"MIB","x",0,948,948
"VIPS","x",7153,511,511
"RPD","x",3813,664,664
"WCO","x",684,889,889
"BOT","x",3492,685,685
"VEX","x",4424,637,637
"BMC","x",6291,542,542
"CVN","x",6290,543,543
"LXT","x",476,907,907
"BCA","x",2534,755,755
"FXT","x",7723,480,480
"BSTY","x",14028,321,321
"XMY","x",11178,377,377
"BCI","x",5047,608,608
"PLAT","x",13360,328,328
"YEED","x",6012,559,559
"AGVC","x",222,918,918
"ZMN","x",268,916,916
"ZSC","x",1494,822,822
"RMT","x",5409,588,588
"TX","x",1090,854,854
"XDCE","x",5445,586,586
"AMP","x",25065,198,198
"NLC2","x",6612,526,526
"HORUS","x",1251,846,846
"ZAP","x",2954,724,724
"HUR","x",0,948,948
"NEXT","x",8931,433,433
"NOKU","x",3628,672,672
"MVL","x",1345,839,839
"COVA","x",2750,744,744
"XLQ","x",7312,501,501
"AIT","x",1506,821,821
"HMQ","x",21583,222,222
"DBIX","x",9879,412,412
"RTE","x",24251,205,205
"SSC","x",3360,692,692
"IVY","x",8635,446,446
"XPC","x",2214,768,768
"SXUT","x",6147,551,551
"ZEL","x",1812,801,801
"SS","x",6500,533,533
"MLM","x",0,948,948
"DAG","x",13657,322,322
"XP","x",18539,248,248
"MTN","x",14801,302,302
"SPD","x",17194,265,265
"BBK","x",23429,215,215
"CSNO","x",3083,712,712
"GMB","x",2019,783,783
"FTN","x",39,940,940
"CARD","x",5071,605,605
"COV","x",8555,449,449
"ABYSS","x",16687,274,274
