"country","continent","lifeExp","pop","gdpPercap"
"BTC","B",10,15210308624788,864
"ETH","B",10,3001369569208,932
"XRP","B",10,1897914665061,769
"BCH","C",8,770384911498,836
"LTC","B",10,641884342465,752
"EOS","B",11,648170463915,913
"BNB","C",9,401214347352,701
"USDT","X",0,309905550224,549
"XLM","C",9,281952738682,823
"ADA","B",10,249118838593,865
"TRX","B",10,207746169839,857
"XMR","C",8,160119333573,763
"DASH","C",8,142768130016,819
"MIOTA","C",9,124185124780,609
"XTZ","C",7,121230758611,702
"XEM","C",7,91249239017,615
"ETC","C",8,91666963571,772
"NEO","C",8,84910093211,794
"ONT","C",7,77407362699,585
"MKR","X",0,72819127635,858
"ZEC","C",8,53608726486,784
"BAT","X",0,51578654574,730
"VET","C",7,46782178390,729
"BTG","C",7,43941308416,545
"DOGE","C",7,42046432572,692
"DCR","C",9,32954966967,793
"QTUM","C",7,32269085997,525
"OMG","C",7,32863717225,748
"LINK","X",0,34075046233,718
"LSK","C",7,27412409553,740
"REP","X",0,27550304542,808
"WAVES","C",8,27635850002,728
"NANO","C",7,26677366286,537
"TUSD","X",0,25945218827,703
"RVN","C",7,22820978466,519
"BCN","D",6,20641125939,169
"ZRX","X",0,21338875917,855
"BTS","C",8,20843088881,595
"HOT","C",9,20759335656,759
"ICX","C",8,19867943564,590
"XVG","D",6,18807669289,751
"ZIL","D",6,17571572714,720
"IOST","C",7,17412850773,671
"DGB","D",6,16623424638,636
"NPXS","X",0,16514199133,436
"SC","C",7,15909569036,474
"AE","D",6,15745257615,770
"AOA","E",3,13784252731,266
"KMD","C",8,14582374135,563
"HT","X",0,14287136891,477
"BTM","D",6,13894208246,358
"STEEM","C",8,13128517959,546
"QBIT","X",0,13107832089,186
"ENJ","X",0,12523116521,669
"SNT","X",0,10487166092,765
"THETA","X",0,10569628340,443
"KCS","X",0,10032212982,209
"WTC","D",6,10063879750,282
"GNT","X",0,9962468453,691
"STRAT","D",5,9722708214,548
"CNX","X",0,9748342641,117
"FCT","X",0,9394136759,534
"ARDR","D",6,8999650839,215
"MCO","X",0,8862531798,308
"DENT","X",0,8901175327,346
"DAI","X",0,8986287227,913
"XIN","E",1,8620530946,139
"ZEN","C",7,8538390625,556
"MAID","X",0,8471527098,569
"PAI","X",0,8471351911,535
"DGD","X",0,8253443925,328
"ELF","X",0,8425740071,704
"TRUE","X",0,8047565770,431
"MONA","X",0,7720967581,324
"WAX","D",6,7599380588,283
"AION","D",6,7498580771,725
