"country","continent","lifeExp","pop","gdpPercap"
"ANT","x",70615,227,227
"RUFF","x",8811,228,228
"MDS","x",1755,229,229
"MOC","x",3922,230,230
"XYO","x",8548,231,231
"S4F","x",127,232,232
"IQ","x",10473,233,233
"HYC","x",3564,234,234
"SALT","x",42634,235,235
"FSN","x",8865,236,236
"EMC2","x",45895,237,237
"NET","x",1107,238,238
"LEO","x",4614,239,239
"EMC","x",3619,240,240
"VIA","x",41223,241,241
"BLZ","x",35254,242,242
"ZCL","x",36581,243,243
"BLOCK","x",21249,244,244
"PPC","x",37016,245,245
"MEDX","x",8394,246,246
"PRS","x",219,247,247
"CRPT","x",17366,248,248
"ICN","x",47972,249,249
"VIBE","x",20687,250,250
"PBT","x",2816,251,251
"HYN","x",681,252,252
"SOLVE","x",10734,253,253
"NMC","x",20300,254,254
"LOC","x",30013,255,255
"ADX","x",54662,256,256
"DMT","x",9425,257,257
"XAS","x",4741,258,258
"ACT","x",134843,259,259
"AERGO","x",5925,260,260
"UTK","x",28064,261,261
"MLN","x",0,262,262
"ZIP","x",1371,263,263
"PRE","x",5487,264,264
"ITC","x",16695,265,265
"FLO","x",12565,266,266
"DTA","x",58195,267,267
"PHX","x",39202,268,268
"TKY","x",30941,269,269
"B2G","x",3500,270,270
"SNGLS","x",35146,271,271
"PRO","x",10982,272,272
"LEND","x",42673,273,273
"VEE","x",6490,274,274
"NCASH","x",60572,275,275
"MGO","x",5061,276,276
"CNUS","x",566,277,277
"QRL","x",12839,278,278
"NMR","x",16013,279,279
"SNM","x",31755,280,280
"INS","x",19542,281,281
"DEW","x",4500,282,282
"ORME","x",29785,283,283
"NOAH","x",7394,284,284
"COSS","x",17145,285,285
"DLT","x",14893,286,286
"QLC","x",24549,287,287
"DROP","x",12911,288,288
"EDG","x",37573,289,289
"PMA","x",4454,290,290
"BTU","x",1323,291,291
"HUM","x",0,292,292
"APIS","x",14741,293,293
"BEAM","x",9478,294,294
"PEPECASH","x",1630,295,295
"SOC","x",7549,296,296
"TNB","x",15384,297,297
"LAMB","x",4338,298,298
"DBC","x",39057,299,299
"RHOC","x",10770,300,300
"AMB","x",19082,301,301
"DNT","x",60626,302,302
"BOS","x",7367,303,303
"TEN","x",7706,304,304
"VITE","x",8898,305,305
"POA","x",17055,306,306
"XSN","x",12818,307,307
"XDN","x",692,308,308
"ARN","x",42868,309,309
"UBQ","x",45033,310,310
"TRAC","x",15727,311,311
"TNT","x",17261,312,312
"BCO","x",30691,313,313
"LRN","x",29051,314,314
"JNT","x",6492,315,315
"SBD","x",0,316,316
"KEY","x",23837,317,317
"SDA","x",924,318,318
"XPM","x",10888,319,319
"MED","x",8394,320,320
"TERN","x",3477,321,321
"FOAM","x",14378,322,322
"CNN","x",82884,323,323
"APPC","x",25651,324,324
"CVNT","x",0,325,325
"GAME","x",29904,326,326
"WPR","x",35231,327,327
"BITCNY","x",0,328,328
"BHP","x",1019,329,329
"SCRL","x",3689,330,330
"MET","x",9652,331,331
"EDC","x",0,332,332
"ZRC","x",7161,333,333
"OSA","x",1402,334,334
"BURST","x",25734,335,335
"OIO","x",35838,336,336
"FUEL","x",24,337,337
"NLG","x",9914,338,338
"AMO","x",987,339,339
"BAY","x",17328,340,340
"PST","x",2819,341,341
"SAFEX","x",18462,342,342
"TRIO","x",4877,343,343
"GTC","x",7313,344,344
"DBET","x",5618,345,345
"KAT","x",11904,346,346
"PI","x",38063,347,347
"XWC","x",7110,348,348
"GRID","x",5835,349,349
"PLR","x",13142,350,350
"GOT","x",0,351,351
"IHT","x",6043,352,352
"EVN","x",17499,353,353
"ECA","x",17556,354,354
"MOBI","x",10505,355,355
"INCNT","x",12279,356,356
"RFR","x",50573,357,357
"LBC","x",32073,358,358
"PRG","x",5043,359,359
"MTH","x",19268,360,360
"CZR","x",282,361,361
"LYM","x",8202,362,362
"ATX","x",593,363,363
"VEO","x",2890,364,364
"SLS","x",3494,365,365
"AST","x",31215,366,366
"YOYOW","x",7330,367,367
"BBR","x",1039,368,368
"SINS","x",812,369,369
"CDT","x",19703,370,370
"CPC","x",8152,371,371
"TIOX","x",20593,372,372
"FOTA","x",6018,373,373
"DX","x",30531,374,374
"LUN","x",31845,375,375
"QCH","x",0,376,376
"SEELE","x",13283,377,377
"NIX","x",26755,378,378
"SUB","x",68178,379,379
"DERO","x",3303,380,380
"LCC","x",12285,381,381
"PASC","x",8669,382,382
"VITAE","x",3030,383,383
"LOKI","x",4725,384,384
"HYDRO","x",2048,385,385
"DOCK","x",45983,386,386
"BPT","x",31712,387,387
"VIB","x",33073,388,388
"DAPS","x",10765,389,389
"INT","x",7177,390,390
"OAX","x",14965,391,391
"BTCP","x",52448,392,392
"NSD","x",528,393,393
"MWAT","x",8793,394,394
"CPT","x",1736,395,395
"BCPT","x",10342,396,396
"GNX","x",6050,397,397
"SWM","x",8684,398,398
"AU","x",2477,399,399
"TRTL","x",3373,400,400
"EVN","x",0,401,401
"BZ","x",0,402,402
"SNPC","x",0,403,403
"PNT","x",1938,404,404
"MER","x",4103,405,405
"XCP","x",31419,406,406
"USDS","x",569,407,407
"CHSB","x",10701,408,408
"AOG","x",360,409,409
"NPX","x",6741,410,410
"MXC","x",1979,411,411
"CAS","x",10018,412,412
"CCCX","x",3908,413,413
"LINA","x",1610,414,414
"DEX","x",1107,415,415
"ADT","x",6598,416,416
"MTC","x",16020,417,417
"UTNP","x",10448,418,418
"MDT","x",5529,419,419
"IOG","x",3684,420,420
"TUBE","x",10799,421,421
"POT","x",33166,422,422
"EDRC","x",204,423,423
"SWFTC","x",8486,424,424
"CLO","x",11345,425,425
"DCC","x",0,426,426
"PLBT","x",8942,427,427
"BTO","x",7417,428,428
"AURA","x",35876,429,429
"B2B","x",3055,430,430
"BLK","x",33508,431,431
"POLIS","x",15066,432,432
"$PAC","x",31776,433,433
"STACS","x",0,434,434
"LGO","x",9830,435,435
"SENSE","x",1529,436,436
"PPP","x",7458,437,437
"AEON","x",8078,438,438
"BRZC","x",4598,439,439
"MRPH","x",5456,440,440
"BEET","x",1277,441,441
"BITUSD","x",0,442,442
"GEN","x",5078,443,443
"NIM","x",6219,444,444
"LYL","x",6870,445,445
"UKG","x",6013,446,446
"CRYP","x",3168,447,447
"NEU","x",4774,448,448
"UPP","x",771,449,449
"CPX","x",17548,450,450
"BTX","x",11561,451,451
"MGD","x",644,452,452
"EBC","x",15399,453,453
"INK","x",6734,454,454
"WINGS","x",37224,455,455
"SHIFT","x",11703,456,456
"COLX","x",9758,457,457
"NTK","x",5906,458,458
"SSP","x",1400,459,459
"SPC","x",3923,460,460
"LTO","x",6543,461,461
"XBY","x",9323,462,462
"PLA","x",2751,463,463
"ONION","x",2887,464,464
"ZPT","x",39420,465,465
"WCT","x",0,466,466
"OCoin","x",10488,467,467
"ECOM","x",11620,468,468
"ONOT","x",7709,469,469
"EOSDAC","x",5396,470,470
"COB","x",53876,471,471
"BAX","x",11473,472,472
"BLT","x",8230,473,473
"DGX","x",16508,474,474
"MRK","x",2550,475,475
"TFD","x",12119,476,476
"THC","x",31696,477,477
"LINDA","x",17679,478,478
"ABL","x",1370,479,479
"NTY","x",11807,480,480
"BAAS","x",9670,481,481
"DCT","x",28719,482,482
"XHV","x",7192,483,483
"FTC","x",23447,484,484
"HLC","x",0,485,485
"DPY","x",1591,486,486
"ZCN","x",28161,487,487
"BOX","x",617,488,488
"PLY","x",3002,489,489
"NGC","x",18,490,490
"HOT","x",1998,491,491
"KCASH","x",7304,492,492
"AVA","x",16949,493,493
"DEC","x",8043,494,494
"OBSR","x",171,495,495
"EVY","x",713,496,496
"WET","x",2215,497,497
"TMC","x",846,498,498
"RBLX","x",1388,499,499
"CV","x",14038,500,500
"REM","x",6281,501,501
"GCR","x",3634,502,502
"PAL","x",11306,503,503
"XSPEC","x",4213,504,504
"RTH","x",176,505,505
"CLB","x",6264,506,506
"GARD","x",6239,507,507
"HTML","x",26739,508,508
"SPANK","x",14252,509,509
"PIB","x",8136,510,510
"QAC","x",507,511,511
"SNX","x",9802,512,512
"GIN","x",5845,513,513
"UT","x",1150,514,514
"CLOAK","x",18150,515,515
"SIX","x",1853,516,516
"PPY","x",10010,517,517
"LML","x",2164,518,518
"AMLT","x",4919,519,519
"CBT","x",2008,520,520
"QUN","x",4522,521,521
"DIM","x",11262,522,522
"MITX","x",13363,523,523
"DYN","x",5635,524,524
"WWB","x",0,525,525
"VRC","x",37041,526,526
"UBT","x",5324,527,527
"ZCO","x",16117,528,528
"AC3","x",8936,529,529
"CAJ","x",2997,530,530
"TAU","x",10975,531,531
"ZPR","x",5328,532,532
"BWX","x",3421,533,533
"BOX","x",7879,534,534
"SEN","x",26400,535,535
"GRC","x",14921,536,536
"KICK","x",8930,537,537
"XAUR","x",5174,538,538
"DIVI","x",7436,539,539
"LET","x",5083,540,540
"ROCK2","x",2844,541,541
"FTX","x",3296,542,542
"CRW","x",11963,543,543
"NCT","x",4553,544,544
"GRFT","x",3957,545,545
"BMX","x",34355,546,546
"ATN","x",4021,547,547
"GENE","x",568,548,548
"SKM","x",0,549,549
"CAG","x",6424,550,550
"YEE","x",6602,551,551
"PHR","x",23634,552,552
"XEL","x",10132,553,553
"CBC","x",1014,554,554
"HST","x",10359,555,555
"QNTU","x",499,556,556
"LQD","x",6418,557,557
"DADI","x",38190,558,558
"GET","x",754,559,559
"IMT","x",27245,560,560
"RADS","x",20557,561,561
"DMD","x",13057,562,562
"FIII","x",3572,563,563
"OCT","x",6388,564,564
"HSC","x",0,565,565
"SLR","x",7214,566,566
"FTI","x",12954,567,567
"EGT","x",41144,568,568
"EDN","x",11492,569,569
"LIFE","x",5716,570,570
"CHAT","x",0,571,571
"ART","x",2891,572,572
"HALO","x",1465,573,573
"BITG","x",7745,574,574
"ION","x",7740,575,575
"SPHTX","x",15552,576,576
"SKB","x",584,577,577
"PCL","x",11977,578,578
"AIDOC","x",1490,579,579
"LND","x",5130,580,580
"EKT","x",482,581,581
"SNC","x",14232,582,582
"MUE","x",15030,583,583
"PLA","x",12577,584,584
"SEM","x",2638,585,585
"VIN","x",7034,586,586
"CEEK","x",44026,587,587
"SENT","x",2540,588,588
"VCT","x",60,589,589
"RVR","x",11883,590,590
"AXPR","x",5913,591,591
"DTX","x",2902,592,592
"RBY","x",6572,593,593
"TAAS","x",0,594,594
"SWTH","x",12198,595,595
"AID","x",5131,596,596
"GSC","x",3337,597,597
"ZP","x",2692,598,598
"NANJ","x",14124,599,599
"RMESH","x",26506,600,600
"ISR","x",1293,601,601
"SOUL","x",10020,602,602
"ATCC","x",705,603,603
"UUU","x",3963,604,604
"BITB","x",0,605,605
"XMX","x",3208,606,606
"GCC","x",4784,607,607
"UP","x",3071,608,608
"SUQA","x",1940,609,609
"DAX","x",9397,610,610
"BCAC","x",0,611,611
"ULT","x",160,612,612
"DICE","x",2171,613,613
"LUX","x",11921,614,614
"TMT","x",3338,615,615
"BWT","x",3137,616,616
"OPQ","x",1197,617,617
"MIB","x",0,618,618
"VIPS","x",7153,619,619
"RPD","x",3813,620,620
"WCO","x",684,621,621
"BOT","x",3492,622,622
"VEX","x",4424,623,623
"BMC","x",6291,624,624
"CVN","x",6290,625,625
"LXT","x",476,626,626
"BCA","x",2534,627,627
"FXT","x",7723,628,628
"BSTY","x",14028,629,629
"XMY","x",11178,630,630
"BCI","x",5047,631,631
"PLAT","x",13360,632,632
"YEED","x",6012,633,633
"AGVC","x",222,634,634
"ZMN","x",268,635,635
"ZSC","x",1494,636,636
"RMT","x",5409,637,637
"TX","x",1090,638,638
"XDCE","x",5445,639,639
"AMP","x",25065,640,640
"NLC2","x",6612,641,641
"HORUS","x",1251,642,642
"ZAP","x",2954,643,643
"HUR","x",0,644,644
"NEXT","x",8931,645,645
"NOKU","x",3628,646,646
"MVL","x",1345,647,647
"COVA","x",2750,648,648
"XLQ","x",7312,649,649
"AIT","x",1506,650,650
"HMQ","x",21583,651,651
"DBIX","x",9879,652,652
"RTE","x",24251,653,653
"SSC","x",3360,654,654
"IVY","x",8635,655,655
"XPC","x",2214,656,656
"SXUT","x",6147,657,657
"ZEL","x",1812,658,658
"SS","x",6500,659,659
"MLM","x",0,660,660
"DAG","x",13657,661,661
"XP","x",18539,662,662
"MTN","x",14801,663,663
"SPD","x",17194,664,664
"BBK","x",23429,665,665
"CSNO","x",3083,666,666
"GMB","x",2019,667,667
"FTN","x",39,668,668
"CARD","x",5071,669,669
"COV","x",8555,670,670
"ABYSS","x",16687,671,671
"DACS","x",858,672,672
"ADM","x",808,673,673
"MOT","x",31076,674,674
"FNKOS","x",124,675,675
"FDZ","x",47539,676,676
"ADB","x",5354,677,677
"EXRN","x",5138,678,678
"PNK","x",5473,679,679
"OMNI","x",19130,680,680
"BOXX","x",8646,681,681
"PLU","x",3164,682,682
"STQ","x",14604,683,683
"SNET","x",0,684,684
"FTT","x",2882,685,685
"MSR","x",1802,686,686
"BKX","x",7458,687,687
"FREE","x",3222,688,688
"INXT","x",12350,689,689
"UGC","x",3312,690,690
"LIF","x",5200,691,691
"ROBET","x",2162,692,692
"NCC","x",8697,693,693
"AID","x",11262,694,694
"HPC","x",2853,695,695
"ELI","x",7511,696,696
"GLC","x",3403,697,697
"GUP","x",29183,698,698
"AVT","x",0,699,699
"LUNES","x",2050,700,700
"XFC","x",1454,701,701
"GTM","x",0,702,702
"RVT","x",10343,703,703
"TNC","x",15838,704,704
"MVP","x",33960,705,705
"LCS","x",4169,706,706
"BSD","x",8582,707,707
"MAS","x",2423,708,708
"BBN","x",2903,709,709
"CURE","x",8732,710,710
"FLUZ","x",0,711,711
"SPHR","x",1824,712,712
"ELEC","x",6465,713,713
"COVAL","x",10482,714,714
"CHP","x",4520,715,715
"RISE","x",21189,716,716
"BTCZ","x",4320,717,717
"HVN","x",7491,718,718
"VGW","x",1792,719,719
"STK","x",9099,720,720
"WIB","x",15043,721,721
"GEM","x",4,722,722
"EFX","x",0,723,723
"PAYX","x",2070,724,724
"PXG","x",1517,725,725
"DAGT","x",1447,726,726
"DAT","x",32771,727,727
"SAFE","x",1316,728,728
"NBAI","x",1316,729,729
"KARMA","x",1555,730,730
"KT","x",0,731,731
"UBEX","x",42945,732,732
"SLOT","x",335,733,733
"CAPP","x",8155,734,734
"UFR","x",3966,735,735
"MUSIC","x",16608,736,736
"GOT","x",43369,737,737
"HMC","x",3615,738,738
"OXY","x",7981,739,739
"WLO","x",10097,740,740
"TSL","x",1979,741,741
"SKCH","x",2989,742,742
"IDH","x",8896,743,743
"OK","x",54378,744,744
"TIME","x",17041,745,745
"KORE","x",12540,746,746
"DTB","x",4896,747,747
"KRL","x",6949,748,748
"KIND","x",24619,749,749
"XNK","x",4857,750,750
"QBT","x",2901,751,751
"GOLOS","x",809,752,752
"COT","x",37465,753,753
"DOV","x",6189,754,754
"BWK","x",7695,755,755
"MYST","x",11797,756,756
"GEO","x",9832,757,757
"HQX","x",5271,758,758
"ATL","x",4221,759,759
"EKO","x",0,760,760
"TOA","x",1381,761,761
"GIC","x",1034,762,762
"TRST","x",17288,763,763
"FLIXX","x",5810,764,764
